MA2,DH5,DL18,FH3,RA1,RA3,CR1,TA2
0.02,0.900260317,125.3333333,101.5555556,0.840115082,-0.394715424,0.071826978,0.714597416
0.62,4.560019048,45.58333333,91.05555556,3.944713287,-1.143935911,0.429471052,0.483276209
0.62,3.953186275,0,73.97222222,2.889898071,-0.953851238,0.382130318,0.525221643
0.21,2.623666667,20.47222222,102.1111111,0.739896778,-0.39318484,0.15165628,0.814057797
0.5,2.531611111,0,38.02777778,1.556153075,-0.655520203,0.22331266,0.74179174
0.59,3.161868687,0,49.91666667,0.801494845,-0.395606219,0.205262326,0.669888403
0.25,3.813287582,0,109.1111111,0.680202384,-0.425935764,0.184405304,0.699760547
0.59,3.106660131,0,59.86111111,0.724220211,-0.341810934,0.188070035,0.626538282
0.19,2.720496528,4.333333333,87.47222222,1.395867769,-0.59176939,0.225276103,0.831127358
0.49,2.077088889,0,42.69444444,0.983092692,-0.455629303,0.194493513,0.793499121
0.09,2.004035948,18.33333333,86.02777778,1.899050834,-0.821475691,0.205015012,0.81696332
0.16,1.59067619,0,73.52777778,0.664367172,-0.344201537,0.116580249,0.734294051
0,0.230369281,298.1944444,46.66666667,0.854124748,-0.412135922,0.024456373,0.781627243
0,0.215650794,241.0277778,103.9166667,0.758953301,-0.307851078,0.022694898,0.577501804
0.01,0.602245098,119.5,130.5833333,0.908474138,-0.316655649,0.063357361,0.574617187
0.02,0.204873016,68.08333333,64.44444444,0.316558824,-0.155594507,0.032368292,0.405882021
0.04,0.947149206,62.69444444,78.80555556,1.301826742,-0.543881458,0.11268588,0.723324701
0.02,1.59779085,87.72222222,99.58333333,1.896630225,-0.764455677,0.157245041,0.808507022
0.13,0.380380952,0.027777778,11.22222222,0.348653743,-0.198133415,0.04311639,0.251039376
0.1,0.879546032,71.44444444,84.38888889,0.698963997,-0.208220617,0.085116648,0.470464731
0.01,0.580219048,83.25,83.44444444,0.62913649,-0.340030109,0.050887976,0.696270321
0.16,1.011420139,12.75,53.61111111,0.561316271,-0.197385901,0.08472172,0.478973832
0.11,0.461428571,0,42.52777778,0.455962085,-0.141702504,0.050966447,0.211581366
0,0.126355556,274.6666667,70.27777778,1.380628019,-0.35282716,0.015425009,0.712597473
0,0.236673016,294.1111111,50.83333333,0.653768844,-0.346317657,0.033320083,0.760537314
0.17,0.684047619,1.833333333,39.38888889,0.506566011,-0.167765636,0.075128584,0.244873272
0.09,0.568774603,8.805555556,62.55555556,0.572237872,-0.175442552,0.062477316,0.335922194
0.01,0.465330065,147.2222222,50.72222222,1.141737452,-0.374086022,0.030603496,0.755499414
0.16,1.094339869,0,61.19444444,0.064180861,-0.045503842,0.080179741,0.571805601
0.06,0.378683007,0.027777778,61.52777778,0.036734824,-0.029379152,0.027370196,0.386200889
0.25,1.599745098,0,67.63888889,0.110587734,-0.072011834,0.105642251,0.643331898
0.24,1.255952381,0,60.30555556,0.07528297,-0.050575615,0.090887401,0.552110235
0.21,1.100225397,0,56.44444444,0.055463585,-0.043290688,0.115431851,0.500516823
0.16,2.15669281,0,85.52777778,0.104425705,-0.07412469,0.150046455,0.823623176
0.07,1.020310458,2.222222222,81.69444444,0.064133552,-0.044266327,0.066407925,0.65007033
0.86,4.913454248,0,74.5,0.360566323,-0.228251715,0.261616975,0.568820543
0,0.227104575,251.0277778,92.66666667,0.154690873,-0.112352103,0.016279845,0.648656935
0.15,0.352924837,0,16.58333333,0.039682911,-0.03154784,0.041577876,0.323222693
0.01,0.082388889,33.72222222,19.44444444,0.238294118,-0.146086435,0.021929407,0.560428509
0.41,1.731555556,0,58.88888889,0.157278157,-0.099704238,0.117321204,0.684728884
0.11,0.615961905,2.638888889,76.16666667,0.07988915,-0.04973233,0.049929521,0.300306758
0.06,0.281715686,0,39.80555556,0.192176326,-0.107980603,0.046026815,0.311079932
0.03,0.388279365,0,61.27777778,0.338579639,-0.157168445,0.055991178,0.312419058
0.07,0.569031746,0,39.77777778,0.382370719,-0.235751553,0.065650442,0.488450735
0,0.45532381,204.5555556,140.3888889,0.734387352,-0.265686368,0.056412116,0.645233833
0,0.245714286,208.3055556,136.6388889,0.767692308,-0.343116883,0.037199831,0.550945247
0,0.52172549,232.3333333,110.6666667,1.761044487,-0.54846988,0.087976648,0.744304678
0.12,0.241352381,0,18.16666667,0.027710843,-0.02294395,0.031547989,0.29480215
0.17,1.287937908,0.527777778,61.05555556,0.06714819,-0.041774419,0.064070779,0.59004593
0.26,1.306590476,0,61.47222222,0.063073344,-0.048045426,0.092781585,0.609050939
0.27,1.582013072,0,63.47222222,0.348227092,-0.177470185,0.182954776,0.664496598
0.06,0.567643791,0,80.83333333,0.085013286,-0.05849482,0.082708076,0.479464675
0.28,1.518130719,0,75.11111111,0.160797333,-0.114436433,0.204657908,0.673159353
0.03,0.93498366,130.6111111,102.9722222,0.778772321,-0.231673307,0.098638626,0.614247568
0.59,5.485403175,0,79.69444444,1.531107011,-0.463830671,0.50976343,0.58501361
0.04,3.129860317,141.7777778,132.4444444,3.551591623,-0.776444597,0.400765375,0.867988686
0.61,5.658726984,0,94.61111111,0.376628788,-0.251343108,0.197352676,0.635350094
0.63,5.616390476,0,96.88888889,0.373028466,-0.244141797,0.210124137,0.612904716
1.36,3.957085714,0,37.72222222,0.946511628,-0.428606262,0.331435454,0.36033877
0.67,3.240294118,0,61.83333333,0.866186645,-0.331414281,0.227143619,0.608021587
0.42,5.014026144,5.555555556,120.1388889,1.731496135,-0.610903257,0.372736665,0.584658123
0.7,9.547261438,0,118.0277778,3.772338673,-1.179742379,0.610709698,0.514104133
0.32,6.63024183,68,122.0555556,2.74467033,-0.825163528,0.444131669,0.602846954
0.84,7.838133987,0,96.88888889,3.21367623,-1.111509568,0.512124887,0.495269278
1.01,8.357702614,0,100.5277778,2.387393013,-0.714274331,0.510559342,0.48819647
1.27,4.608444444,0,63.94444444,0.719606349,-0.301475323,0.355433961,0.422314134
1.02,6.343562092,0,94.55555556,0.852076677,-0.421909418,0.404435439,0.479397447
2.31,13.24095098,0,80.94444444,4.128486239,-1.278388356,0.75145097,0.444743223
3.71,16.35310794,0,63.72222222,4.227637171,-1.5534774,1.043976095,0.39028046
2.76,10.11847937,0,54.08333333,2.709479452,-0.977357698,0.732224321,0.391997409
3.76,14.52578413,0,56.22222222,3.434398952,-1.200557144,0.771356256,0.407496573
5.61,19.40398693,0,47.80555556,5.773494713,-2.450397781,0.984848414,0.358246905
6.87,16.7934183,0,24.36111111,3.764251838,-2.00838265,1.092028766,0.435208107
1.8,3.805310458,0,21.61111111,0.656805173,-0.298014963,0.33319849,0.256609098
